,absolute_change_ej_per_year,percent_change
count,8.0,8.0
mean,3.54,9.28
std,19.54,16.39
min,-22.1,-4.1
25%,-4.4,-0.82
50%,1.4,2.1
75%,6.22,12.68
max,45.9,38.1
